Wavelength [nm], Irradiance (before midnight), Irradiance (after midnight)
511.0, 5.99767410198e-10, 6.82548261012e-10
511.5, 4.13150574668e-10, 5.48112161972e-10
512.0, 7.87131419555e-10, 7.35426739802e-10
512.5, 7.63737257245e-10, 7.82733156995e-10
513.0, 2.29662020668e-10, 9.27188000822e-10
513.5, 2.89118154285e-10, 8.65268404154e-10
514.0, 1.1868072442e-09, 1.8711337581e-09
514.5, 2.65921481352e-09, 5.09950003418e-09
515.0, 4.63838340894e-09, 8.45036704289e-09
515.5, 5.60768782657e-09, 9.79966789937e-09
516.0, 5.31871295509e-09, 8.17210854349e-09
516.5, 3.41484568842e-09, 4.85522247087e-09
517.0, 1.26156472982e-09, 1.93936530103e-09
517.5, 3.32237278495e-10, 6.75736784447e-10
518.0, 1.83640346665e-10, 4.8132203205e-10
518.5, 1.5838602883e-10, 3.82813552053e-10
519.0, 1.56166414487e-10, 3.03380880779e-10
519.5, 1.9351722564e-10, 2.7124539227e-10
520.0, 1.27175617353e-10, 3.65065946737e-10
520.5, -7.50007469149e-11, 3.32275952431e-10
521.0, -4.07651060621e-11, 4.55019324693e-10
521.5, -7.82779151387e-11, 3.48613116654e-10
522.0, -6.25984621864e-11, 3.32587702831e-10
522.5, -6.25553155118e-11, 4.21785008611e-10
523.0, -5.78309500906e-11, 4.39026212072e-10
523.5, -1.4677453102e-11, 3.77298491431e-10
524.0, 1.62667797493e-10, 4.62526391981e-10
524.5, 1.01174354374e-10, 4.88071636155e-10
525.0, -1.1326251196e-11, 5.31369948765e-10
525.5, 4.88001581401e-11, 4.66708381752e-10
526.0, -1.2738713616e-11, 4.09595106882e-10
526.5, -2.05239146569e-10, 4.40459995825e-10
527.0, -1.14300252638e-10, 4.17963898506e-10
527.5, -2.62791280485e-11, 3.87914039747e-10
528.0, 2.07717637415e-11, 4.07047704801e-10
528.5, -3.01385630013e-10, 5.5102328764e-10
529.0, -2.62956990794e-10, 4.87185038399e-10
529.5, -2.22497455222e-10, 5.63328599589e-10
530.0, -1.58910441462e-10, 5.16097663027e-10
530.5, 4.0164808938e-12, 6.26584742971e-10
531.0, 6.26951383373e-11, 7.57654826899e-10
531.5, -6.72648816577e-11, 7.33813909227e-10
532.0, -2.47484483426e-11, 7.29051993791e-10
532.5, 4.78108090249e-10, 1.01251184049e-09
533.0, 1.08135446351e-09, 1.64255110682e-09
533.5, 2.04056699279e-09, 2.92148967263e-09
534.0, 6.93098742818e-09, 6.39819437602e-09
534.5, 1.46282585733e-08, 1.26451257879e-08
535.0, 2.46252419982e-08, 1.87829287006e-08
535.5, 2.98684772533e-08, 2.25806471795e-08
536.0, 2.8709958517e-08, 2.20575327475e-08
536.5, 2.35072608231e-08, 1.81115618035e-08
537.0, 1.85966711947e-08, 1.43595082095e-08
537.5, 1.51350979985e-08, 1.24307059191e-08
538.0, 1.31154481846e-08, 1.059074806e-08
538.5, 1.17513849895e-08, 9.46121771142e-09
539.0, 1.01975339549e-08, 8.64303379262e-09
539.5, 8.26744937723e-09, 7.51408248374e-09
540.0, 7.36478776707e-09, 6.56978514992e-09
540.5, 6.62500591617e-09, 6.65840594977e-09
541.0, 7.23622639738e-09, 7.08682323183e-09
541.5, 7.49125303384e-09, 7.81194488907e-09
542.0, 8.05809283563e-09, 8.55626152759e-09
542.5, 7.57423134724e-09, 8.68244478252e-09
543.0, 7.23758591035e-09, 8.66933635415e-09
543.5, 7.41284316785e-09, 8.40437276105e-09
544.0, 9.24544337305e-09, 1.00283323665e-08
544.5, 1.68186819164e-08, 1.93191693107e-08
545.0, 5.11694425019e-08, 4.40616139603e-08
545.5, 1.03218972335e-07, 6.97740399668e-08
546.0, 1.2435001326e-07, 7.93517974343e-08
546.5, 1.07177112437e-07, 7.02233899633e-08
547.0, 5.42605713441e-08, 4.51389519874e-08
547.5, 2.08384098652e-08, 2.2011132403e-08
548.0, 1.21937783234e-08, 1.21880530721e-08
548.5, 9.61148823983e-09, 1.02362978368e-08
549.0, 8.89327149235e-09, 9.52701324671e-09
549.5, 8.39442038604e-09, 9.51749127542e-09
550.0, 7.82129266352e-09, 9.40420569828e-09
550.5, 8.08686412069e-09, 9.68905267044e-09
551.0, 8.84081285859e-09, 1.05304653671e-08
551.5, 8.82973976133e-09, 1.06808462862e-08
552.0, 8.45235017406e-09, 1.03613630923e-08
552.5, 8.34046325479e-09, 1.02419513754e-08
553.0, 8.15303503237e-09, 1.00374067892e-08
553.5, 7.4827237818e-09, 9.98503315882e-09
554.0, 7.65717593262e-09, 9.39739996466e-09
554.5, 6.93586643259e-09, 9.23398522142e-09
555.0, 6.88731857737e-09, 9.46531668337e-09
555.5, 6.72916265717e-09, 9.91204671141e-09
556.0, 7.24834138523e-09, 1.22342248099e-08
556.5, 7.92643084399e-09, 1.58061206838e-08
557.0, 9.93227266963e-09, 2.01286744803e-08
557.5, 1.14596274431e-08, 2.23388492263e-08
558.0, 1.17245813078e-08, 2.26220117595e-08
558.5, 1.16813340729e-08, 2.0905054044e-08
559.0, 1.16397542533e-08, 1.9012570158e-08
559.5, 1.12431810065e-08, 1.88295932604e-08
560.0, 1.11244179841e-08, 1.90027682289e-08
560.5, 1.19878836156e-08, 2.01234925929e-08
561.0, 1.21486914305e-08, 2.07409437673e-08
561.5, 1.28514886455e-08, 2.15208847335e-08
562.0, 1.28646958503e-08, 2.21819030346e-08
562.5, 1.32287798759e-08, 2.3040709917e-08
563.0, 1.42610947898e-08, 2.39588986179e-08
563.5, 1.54530175418e-08, 2.6215728275e-08
564.0, 1.69351944738e-08, 2.90027816714e-08
564.5, 2.04407646188e-08, 3.32254680961e-08
565.0, 2.7169970971e-08, 4.10866341991e-08
565.5, 4.17840888859e-08, 5.42098482797e-08
566.0, 7.50304691756e-08, 7.62892716001e-08
566.5, 1.37609795408e-07, 1.18549545641e-07
567.0, 2.39341977977e-07, 1.91126083111e-07
567.5, 3.73565975058e-07, 2.84442618947e-07
568.0, 4.82952309998e-07, 3.60264054063e-07
568.5, 5.15068723491e-07, 3.81672112726e-07
569.0, 4.552261301e-07, 3.37112658489e-07
569.5, 3.28152661731e-07, 2.48044034551e-07
570.0, 1.95778141551e-07, 1.55999804033e-07
570.5, 1.04654483981e-07, 9.28498957601e-08
571.0, 5.69341955739e-08, 6.25648647243e-08
571.5, 3.68945589196e-08, 5.0260502428e-08
572.0, 2.92164186485e-08, 4.46205764663e-08
572.5, 2.6989948213e-08, 4.16639432992e-08
573.0, 2.59721259738e-08, 4.07874658865e-08
573.5, 2.54415489828e-08, 4.13595368572e-08
574.0, 2.61957376344e-08, 4.26476702248e-08
574.5, 3.19998201002e-08, 4.66402869742e-08
575.0, 4.50990668503e-08, 5.41551295043e-08
575.5, 6.82100304361e-08, 6.6233039722e-08
576.0, 9.239383475e-08, 7.90797027562e-08
576.5, 1.10206297113e-07, 8.85864049881e-08
577.0, 1.17495713925e-07, 9.45713753207e-08
577.5, 1.23977116319e-07, 9.91275567918e-08
578.0, 1.33492078855e-07, 1.04016134273e-07
578.5, 1.40774810822e-07, 1.09502127819e-07
579.0, 1.423522432e-07, 1.1152419547e-07
579.5, 1.39487298219e-07, 1.10337448879e-07
580.0, 1.34147758926e-07, 1.09050736067e-07
580.5, 1.3533302136e-07, 1.1233223401e-07
581.0, 1.44680007593e-07, 1.19706808613e-07
581.5, 1.5970236573e-07, 1.298861044e-07
582.0, 1.77333478607e-07, 1.41696755267e-07
582.5, 1.96830324657e-07, 1.54747990328e-07
583.0, 2.12995260519e-07, 1.68918052644e-07
583.5, 2.328499993e-07, 1.8233893826e-07
584.0, 2.52345536661e-07, 1.95053308055e-07
584.5, 2.66184959511e-07, 2.05777149536e-07
585.0, 2.76783528617e-07, 2.12583245998e-07
585.5, 2.75797548169e-07, 2.10815682356e-07
586.0, 2.55144235343e-07, 1.96835142877e-07
586.5, 2.16434459434e-07, 1.69320871733e-07
587.0, 1.69581441853e-07, 1.31026222983e-07
587.5, 1.17327399607e-07, 9.0353959089e-08
588.0, 7.23702539907e-08, 6.06432205594e-08
588.5, 4.57588353751e-08, 4.46767216192e-08
589.0, 4.34123423317e-08, 4.19865137683e-08
589.5, 6.14148442438e-08, 5.18022456945e-08
590.0, 9.39627226097e-08, 7.31677714949e-08
590.5, 1.39713025391e-07, 1.03636903089e-07
591.0, 1.91680807879e-07, 1.39649691481e-07
591.5, 2.37971956179e-07, 1.76303746535e-07
592.0, 2.77096791115e-07, 2.05851223223e-07
592.5, 3.07619111714e-07, 2.26213715576e-07
593.0, 3.24021829984e-07, 2.37980863942e-07
593.5, 3.28160988308e-07, 2.42154160177e-07
594.0, 3.26977194225e-07, 2.41603380844e-07
594.5, 3.22030403038e-07, 2.38269958457e-07
595.0, 3.14602569989e-07, 2.33843246558e-07
595.5, 3.05406606779e-07, 2.27211395376e-07
596.0, 2.94129729394e-07, 2.19085667925e-07
596.5, 2.83197936366e-07, 2.11158388311e-07
597.0, 2.70912095729e-07, 2.03337466517e-07
597.5, 2.57351336324e-07, 1.95200412513e-07
598.0, 2.45006221709e-07, 1.86177525278e-07
598.5, 2.35094141467e-07, 1.78036954964e-07
599.0, 2.23905745984e-07, 1.70540135317e-07
599.5, 2.12173085582e-07, 1.6274355064e-07
600.0, 2.00448253998e-07, 1.54757405363e-07
600.5, 1.88224523161e-07, 1.47871749082e-07
601.0, 1.78287412764e-07, 1.40535469546e-07
601.5, 1.71671394605e-07, 1.34103143592e-07
602.0, 1.61704870852e-07, 1.282917565e-07
602.5, 1.51005643605e-07, 1.22500313852e-07
603.0, 1.4560775403e-07, 1.16544362421e-07
603.5, 1.36477634527e-07, 1.11298968063e-07
604.0, 1.29974178301e-07, 1.06080784535e-07
604.5, 1.21805048051e-07, 1.01354845336e-07
605.0, 1.15484736845e-07, 9.70246766274e-08
605.5, 1.12229111594e-07, 9.22760817988e-08
606.0, 1.06964473925e-07, 8.87644130411e-08
606.5, 1.00931351479e-07, 8.65152568722e-08
607.0, 9.56930805274e-08, 8.33411785048e-08
607.5, 9.16183277033e-08, 8.07347187018e-08
608.0, 9.03938813103e-08, 7.89174810639e-08
608.5, 9.44559991462e-08, 7.84568752876e-08
609.0, 1.00686999808e-07, 8.0209779902e-08
609.5, 1.08567297473e-07, 8.3022896496e-08
610.0, 1.13807797553e-07, 8.4520721091e-08
610.5, 1.15800953212e-07, 8.32561484237e-08
611.0, 1.07151087109e-07, 7.8799180912e-08
611.5, 9.42325522648e-08, 7.29108188517e-08
612.0, 8.02347516269e-08, 6.72799061923e-08
612.5, 7.41618098097e-08, 6.51535182641e-08
613.0, 7.77412426583e-08, 6.89877095016e-08
613.5, 9.49233485531e-08, 8.02110804024e-08
614.0, 1.19501354061e-07, 9.59091804659e-08
614.5, 1.3651621611e-07, 1.08738454155e-07
615.0, 1.39687374161e-07, 1.10652806662e-07
615.5, 1.23108854559e-07, 9.84581268181e-08
616.0, 9.12821966141e-08, 7.85894156625e-08
616.5, 5.99513469542e-08, 6.02020126171e-08
617.0, 4.19863316962e-08, 4.79957206476e-08
617.5, 3.41931486631e-08, 4.21549489252e-08
618.0, 3.14993432104e-08, 4.02311700327e-08
618.5, 2.90797429644e-08, 3.8471231357e-08
619.0, 2.75286531701e-08, 3.60745648625e-08
619.5, 2.61540920384e-08, 3.39878473847e-08
620.0, 2.38291332721e-08, 3.20325487392e-08
620.5, 2.21189479607e-08, 2.9963615929e-08
621.0, 2.1532580563e-08, 2.86800856787e-08
621.5, 2.02273622111e-08, 2.69445817192e-08
622.0, 1.92314743116e-08, 2.5749507791e-08
622.5, 1.91826880882e-08, 2.51822708641e-08
623.0, 1.89042804807e-08, 2.52526177179e-08
623.5, 1.79040015293e-08, 2.44159830891e-08
624.0, 1.75470615566e-08, 2.39179023957e-08
624.5, 1.79086244287e-08, 2.27063756822e-08
625.0, 1.72767524954e-08, 2.16316835291e-08
625.5, 1.60415770558e-08, 2.05117614265e-08
626.0, 1.56630672761e-08, 1.95470746612e-08
626.5, 1.40754700354e-08, 1.81085014045e-08
627.0, 1.41079283515e-08, 1.7591698146e-08
627.5, 1.47627033278e-08, 1.71626989581e-08
628.0, 1.59931305734e-08, 1.7373737931e-08
628.5, 1.79971009065e-08, 1.74636367959e-08
629.0, 1.86611956258e-08, 1.74815363711e-08
629.5, 1.74079941666e-08, 1.66673246231e-08
630.0, 1.53033597103e-08, 1.57929505221e-08
630.5, 1.28476895059e-08, 1.43275871049e-08
631.0, 1.10671970721e-08, 1.30178592912e-08
631.5, 9.88526879305e-09, 1.23221224239e-08
632.0, 8.98366071881e-09, 1.17245220782e-08
632.5, 8.91292977893e-09, 1.10011232755e-08
633.0, 8.52699069522e-09, 1.03203803069e-08
633.5, 8.49501455102e-09, 1.00749338624e-08
634.0, 8.19499714735e-09, 1.01470734743e-08
634.5, 9.01057818089e-09, 9.69838648312e-09
635.0, 8.63832411973e-09, 9.5910406534e-09
635.5, 8.47996025743e-09, 9.34932492534e-09
636.0, 7.85510187354e-09, 9.47703441567e-09
636.5, 6.86026999851e-09, 8.69537574358e-09
637.0, 7.14753490251e-09, 8.28626582008e-09
637.5, 6.63471493641e-09, 8.13086349997e-09
638.0, 6.317012488e-09, 8.12761402394e-09
638.5, 6.08979172079e-09, 7.65152524324e-09
