Wavelength [nm], Irradiance
8.529288373152211307e+02,1.690323580891142929e-01
8.528619348614081446e+02,1.690486778919710609e-01
8.527948966491773035e+02,1.689425991734019861e-01
8.527277227452204897e+02,1.724391169354674291e-01
8.526604132162294718e+02,1.714599287640605207e-01
8.525929681288961319e+02,1.704358611347975005e-01
8.525253875499123524e+02,1.695994712383874503e-01
8.524576715459697880e+02,1.713620099469198299e-01
8.523898201837604347e+02,1.687753211941199760e-01
8.523218335299760611e+02,1.676288550434310853e-01
8.522537116513084356e+02,1.705052202969388198e-01
8.521854546144495544e+02,1.690772375469704325e-01
8.521170624860911857e+02,1.682286077984178063e-01
8.520485353329249847e+02,1.704889004940820241e-01
8.519798732216430608e+02,1.682041280941326267e-01
8.519110762189370689e+02,1.721739201390447283e-01
8.518421443914988913e+02,1.717781649197677729e-01
8.517730778060204102e+02,1.708928156147873634e-01
8.517038765291932805e+02,1.685550038555534147e-01
8.516345406277094980e+02,1.687222818348354247e-01
8.515650701682609451e+02,1.690282781384001010e-01
8.514954652175392766e+02,1.676941342548582126e-01
8.514257258422364885e+02,1.686570026234082975e-01
8.513558521090442355e+02,1.686406828205515296e-01
8.512858440846545136e+02,1.669801428798740051e-01
8.512157018357589777e+02,1.677145340084291725e-01
8.511454254290497374e+02,1.664497492870286033e-01
8.510750149312183339e+02,1.693424343433931334e-01
8.510044704089567631e+02,1.679552511005666937e-01
8.509337919289567935e+02,1.675635758320039581e-01
8.508629795579103074e+02,1.701053851269476724e-01
8.507920333625090734e+02,1.693995536533918767e-01
8.507209534094450873e+02,1.703909816769413332e-01
8.506497397654098904e+02,1.698646680348101512e-01
8.505783924970955923e+02,1.683918058269855966e-01
8.505069116711938477e+02,1.691506766598259437e-01
8.504352973543965390e+02,1.691914761669678913e-01
8.503635496133955485e+02,1.695627516819596947e-01
8.502916685148826446e+02,1.690731575962562405e-01
8.502196541255495958e+02,1.695178722241035274e-01
8.501475065120883983e+02,1.692730751812518142e-01
8.500752257411908204e+02,1.709132153683583510e-01
8.500028118795487444e+02,1.679919706569944771e-01
8.499302649938538252e+02,1.708968955655015554e-01
8.498575851507980587e+02,1.682163679462752026e-01
8.497847724170732135e+02,1.661927123920343141e-01
8.497118268593711718e+02,1.691384368076833677e-01
8.496387485443835885e+02,1.721861599911873042e-01
8.495655375388025732e+02,1.692241157726814549e-01
8.494921939093197807e+02,1.694158734562486446e-01
8.494187177226270933e+02,1.720229619626194861e-01
8.493451090454162795e+02,1.675064565220052148e-01
